Tienda,cluster,latitude,longitude,Nombre Tienda,Region
20000174,7,3.4761296,-76.5006448,tienda el rey,region cali
20000175,5,3.4761671,-76.49919870000002,licores daza,region cali
20000176,0,3.4751218999999995,-76.4978271,tiendas torres de comfandi conj d,region cali
20000181,7,3.4757752,-76.49459209999998,tienda mixta barranquilla,region cali
20000183,2,3.4770832,-76.4962426,tienda jc,region cali
20000185,2,3.4709931000000003,-76.4955913,tienda que me llevo,region cali
20000187,1,3.4736454,-76.4959176,tienda valelaina,region cali
20000188,2,3.4752157,-76.4968777,miscelanea micerely,region cali
20000190,2,3.4731798,-76.5074707,triple aaa,region cali
20000194,1,3.4696823,-76.4946686,tienda la sevillana,region cali
20000197,0,3.4098689,-76.55195239999998,tienda mixta,region cali
20000206,3,3.4942149,-76.4901557,tienda lider,region cali
20000207,5,3.4516467000000004,-76.53198540000002,tienda nn4,region cali
20000208,0,3.4706982,-76.5100671,tienda mixta,region cali
20000210,7,3.4931904,-76.48719,tienda nn6,region cali
20000211,1,3.4731798,-76.5074707,mercafruver comfenalco,region cali
20000212,4,3.49261,-76.4875272,tienda nn7,region cali
20000213,0,3.4912277,-76.4921035,tienda nn8,region cali
20000214,0,3.4946077000000004,-76.48698490000002,tienda nn9,region cali
20000215,3,3.4912277,-76.4921035,tienda giret,region cali
20000218,7,3.4730007000000005,-76.4989489,tienda andrea,region cali
20000222,4,3.4700391,-76.50644100000002,tienda simoncho,region cali
20000223,7,3.4792932,-76.4896393,tienda mixta adelaida,region cali
20000224,8,3.4792932,-76.4896393,maxitienda chiminangos,region cali
20000225,0,3.4770225,-76.49130749999998,megatienda jorge yath,region cali
20000226,5,3.4754089999999995,-76.49667199999998,supertienda el competidor,region cali
20000227,2,3.4770022000000003,-76.48960500000003,estanco el encuentro,region cali
20000234,3,3.4516467000000004,-76.53198540000002,tienda mj,region cali
20000236,0,3.4516467000000004,-76.53198540000002,tienda y licores la 62,region cali
20000237,1,3.4516467000000004,-76.53198540000002,salsamentaria el campesino,region cali
20000238,3,3.4781918,-76.4930579,minitienda obando,region cali
20000240,7,3.4516467000000004,-76.53198540000002,tienda reyes,region cali
20000242,3,3.4735681000000005,-76.48596620000002,tienda dora,region cali
20000243,3,3.4892958,-76.491179,tienda ronald,region cali
20000244,7,3.4892958,-76.491179,tienda mixta,region cali
20000245,7,3.4723795,-76.4859006,miscelanea doña rita,region cali
20000247,2,3.4768961000000003,-76.49446669999998,rapitienda uno a,region cali
20000248,4,3.5002437000000004,-76.49394889999998,licores fanny,region cali
20000251,0,3.4404994,-76.48593629999998,tienda angelita,region cali
20000252,7,3.4725324,-76.4856688,el abasto de dios,region cali
20000253,7,3.4813368,-76.491892,heladeria parque,region cali
20000255,0,3.4723795,-76.4859006,tienda mixta,region cali
20000258,2,3.4737744,-76.4883768,tienda mixta yamita,region cali
20000259,0,3.4827935,-76.49754140000002,tienda omita,region cali
20000260,4,3.4735261,-76.4912691,minimarket peniel,region cali
20000261,7,3.470536,-76.504102,miscelanea luze,region cali
20000262,7,3.4584410000000005,-76.52566379999998,miscelanea la 68,region cali
20000264,0,3.4728345000000003,-76.48803459999998,tienda el parqueadero,region cali
20000265,1,3.4731798,-76.5074707,tienda y licores el prado,region cali
20000267,2,3.477971,-76.4901387,tienda lauris,region cali
20000270,0,3.469471,-76.489721,distrimax la mejor,region cali
20000275,2,3.4691417,-76.5044833,delicias de salomia,region cali
20000276,7,3.4672248,-76.5041778,miscelanea don reyes,region cali
20000279,7,3.476055,-76.4855815,tienda la palma,region cali
20000280,2,3.4745992,-76.48811239999998,tienda mixta salazar,region cali
20000286,2,3.4698269,-76.4914233,tienda mixta tobar,region cali
20000287,2,3.4677986000000014,-76.5025605,tienda ana,region cali
20000288,4,3.4672248,-76.5041778,supermercado sensación,region cali
20000289,8,3.4644661,-76.50001879999998,tienda mixta daniela,region cali
20000296,0,3.4645940000000004,-76.50385870000002,tienda  mamaida,region cali
